server	intended	corrupted	ask	baidu	bing	duckduckgo	google	sogou	yahoo	yandex	youdao
2	Secureserver	swcuressrger	false	false	true	true	true	false	false	false	false
2	Espncricinfo	espmcricunvo	false	true	true	false	true	false	false	false	false
2	Extratorrent	rstrato4rent	false	false	true	true	true	false	false	false	false
2	Espncricinfo	es[mcricinro	false	false	true	true	true	false	false	false	false
1	Infusionsoft	intuskonzoft	false	false	false	true	false	false	true	false	false
3	Extratorrent	dstratorrebt	false	true	true	true	true	false	true	false	false
3	Extratorrent	ext5a6orrebt	false	false	true	true	false	false	true	false	false
2	Espncricinfo	esphcricinrk	false	true	true	false	true	false	false	false	false
2	Mercadolivre	jercaxolicre	false	false	true	false	false	false	false	false	false
2	Shutterstock	shytterst0cl	false	false	true	true	false	false	false	false	false
2	Liveinternet	liveijterjeg	false	true	true	true	true	false	false	false	false
2	Surveymonkey	survey,onoeu	false	true	false	false	false	true	false	false	true
